incident_id,No,Type,Status,Age Group,Gender
449149,0,Victim,Injured,Adult 18+,Male
449149,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449283,0,Subject-Suspect,Killed,Adult 18+,Male
449285,0,Victim,Unharmed,Adult 18+,Male
449285,1,Subject-Suspect,Injured,Adult 18+,Male
449371,0,Victim,Killed,Adult 18+,Male
448789,0,Victim,Injured,Adult 18+,Female
448789,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449489,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449489,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Female
449489,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449493,0,Victim,Injured,Teen 12-17,Male
449495,0,Victim,Injured,Adult 18+,Male
449495,1,Subject-Suspect,Unharmed,Adult 18+,Male
449498,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449502,0,Victim,Injured,Child 0-11,Male
449502,1,Victim,Injured,Adult 18+,Male
448870,0,Victim,"Injured, Arrested",Adult 18+,Male
449529,0,Subject-Suspect,Unharmed,Adult 18+,Male
449529,1,Subject-Suspect,Unharmed,Adult 18+,Male
448801,0,Subject-Suspect,"Injured, Arrested",Adult 18+,Male
449049,0,Victim,Injured,Adult 18+,Male
449100,0,Victim,Injured,Adult 18+,Male
449100,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449100,2,Subject-Suspect,"Injured, Arrested",Adult 18+,Male
449100,3,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449100,4,Subject-Suspect,"Injured, Arrested",Adult 18+,Male
451759,0,Victim,Injured,Adult 18+,Male
449482,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
451469,0,Victim,Injured,Teen 12-17,Female
451469,1,Subject-Suspect,Unharmed,,Male
451469,2,Subject-Suspect,Unharmed,,Male
451469,3,Subject-Suspect,Unharmed,,Male
450967,0,Victim,Injured,Adult 18+,Male
450967,1,Subject-Suspect,Unharmed,,Male
795361,0,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449297,0,Victim,Injured,Teen 12-17,Male
449297,1,Victim,Injured,Teen 12-17,Male
449297,2,Subject-Suspect,Unharmed,,Male
448845,0,Victim,Killed,Adult 18+,Male
448845,1,Subject-Suspect,Arrested,Adult 18+,Male
448845,2,Subject-Suspect,Arrested,Adult 18+,Male
448845,3,Subject-Suspect,Arrested,Adult 18+,Male
450359,0,Victim,Killed,Teen 12-17,Male
450359,1,Subject-Suspect,"Unharmed, Arrested",Teen 12-17,Male
450359,2,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449255,0,Victim,Injured,Adult 18+,Male
449255,1,Victim,Injured,Adult 18+,Male
456937,0,Victim,Injured,Adult 18+,Male
456937,1,Subject-Suspect,Unharmed,Adult 18+,Male
450044,0,Victim,Injured,Adult 18+,Male
450044,1,Subject-Suspect,,Adult 18+,Male
449223,0,Victim,Killed,Adult 18+,Male
449223,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
448753,0,Victim,Injured,Adult 18+,Male
450050,0,Victim,Injured,Adult 18+,Male
450050,1,Subject-Suspect,,Adult 18+,Male
450339,0,Victim,Injured,,Male
450339,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450237,0,Victim,Injured,Adult 18+,Male
450237,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
450143,0,Victim,Killed,Adult 18+,Male
450143,1,Victim,Injured,Adult 18+,Male
450143,2,Victim,Injured,Adult 18+,Male
450143,3,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
449611,0,Subject-Suspect,"Injured, Arrested",Adult 18+,Male
450895,0,Victim,Unharmed,Adult 18+,Male
450895,1,Subject-Suspect,"Unharmed, Arrested",Adult 18+,Male
456803,0,Subject-Suspect,Unharmed,Adult 18+,Male
456803,1,Subject-Suspect,Unharmed,Adult 18+,Male
456803,2,Subject-Suspect,Unharmed,Adult 18+,Male
